Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS-01CuraKatalon,Chrome 71.0.3578.98,"Testes de login, marcar consulta e verificar consulta",2018-12-18 20:20:40,2018-12-18 20:21:00,"19,795s",PASSED
,,,,,,
Test Cases/TC01-Login,Chrome 71.0.3578.98,test case login sucess,2018-12-18 20:20:40,2018-12-18 20:20:50,"9,370s",PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-18 20:20:41,2018-12-18 20:20:44,"3,401s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 71.0.3578.98,,2018-12-18 20:20:44,2018-12-18 20:20:47,"2,844s",PASSED
"click(findTestObject(""Object Repository/MarcaConsulta/a_Make Appointment""))",Chrome 71.0.3578.98,,2018-12-18 20:20:47,2018-12-18 20:20:48,"0,427s",PASSED
"setEncryptedText(findTestObject(""Object Repository/MarcaConsulta/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 71.0.3578.98,,2018-12-18 20:20:48,2018-12-18 20:20:48,"0,216s",PASSED
"setText(findTestObject(""Object Repository/MarcaConsulta/input_Username_username""), ""John Doe"")",Chrome 71.0.3578.98,,2018-12-18 20:20:48,2018-12-18 20:20:48,"0,135s",PASSED
"click(findTestObject(""Object Repository/MarcaConsulta/button_Login""))",Chrome 71.0.3578.98,,2018-12-18 20:20:48,2018-12-18 20:20:48,"0,499s",PASSED
"click(findTestObject(""Object Repository/MarcaConsulta/label_Apply for hospital readm""))",Chrome 71.0.3578.98,,2018-12-18 20:20:48,2018-12-18 20:20:49,"0,154s",PASSED
"setText(findTestObject(""Object Repository/MarcaConsulta/input_Visit Date (Required)_vi""), ""29/09/1993"")",Chrome 71.0.3578.98,,2018-12-18 20:20:49,2018-12-18 20:20:49,"0,338s",PASSED
"setText(findTestObject(""Object Repository/MarcaConsulta/textarea_Comment_comment""), ""teste123 oj ogo"")",Chrome 71.0.3578.98,,2018-12-18 20:20:49,2018-12-18 20:20:49,"0,130s",PASSED
"click(findTestObject(""Object Repository/MarcaConsulta/button_Book Appointment""))",Chrome 71.0.3578.98,,2018-12-18 20:20:49,2018-12-18 20:20:49,"0,305s",PASSED
