Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS-01CuraKatalon,Chrome 71.0.3578.98,"Testes de login, marcar consulta e verificar consulta",2018-12-18 20:17:08,2018-12-18 20:17:32,"23,966s",FAILED
,,,,,,
Test Cases/TC01-Login,Chrome 71.0.3578.98,test case login sucess,2018-12-18 20:17:08,2018-12-18 20:17:17,"8,971s",PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-18 20:17:08,2018-12-18 20:17:12,"3,208s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 71.0.3578.98,,2018-12-18 20:17:12,2018-12-18 20:17:15,"2,934s",PASSED
"click(findTestObject(""Object Repository/MarcaConsulta/a_Make Appointment""))",Chrome 71.0.3578.98,,2018-12-18 20:17:15,2018-12-18 20:17:15,"0,404s",PASSED
"setEncryptedText(findTestObject(""Object Repository/MarcaConsulta/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 71.0.3578.98,,2018-12-18 20:17:15,2018-12-18 20:17:15,"0,200s",PASSED
"setText(findTestObject(""Object Repository/MarcaConsulta/input_Username_username""), ""John Doe"")",Chrome 71.0.3578.98,,2018-12-18 20:17:15,2018-12-18 20:17:15,"0,131s",PASSED
"click(findTestObject(""Object Repository/MarcaConsulta/button_Login""))",Chrome 71.0.3578.98,,2018-12-18 20:17:15,2018-12-18 20:17:16,"0,464s",PASSED
"click(findTestObject(""Object Repository/MarcaConsulta/label_Apply for hospital readm""))",Chrome 71.0.3578.98,,2018-12-18 20:17:16,2018-12-18 20:17:16,"0,116s",PASSED
"setText(findTestObject(""Object Repository/MarcaConsulta/input_Visit Date (Required)_vi""), ""29/09/1993"")",Chrome 71.0.3578.98,,2018-12-18 20:17:16,2018-12-18 20:17:16,"0,239s",PASSED
"setText(findTestObject(""Object Repository/MarcaConsulta/textarea_Comment_comment""), ""teste123 oj ogo"")",Chrome 71.0.3578.98,,2018-12-18 20:17:16,2018-12-18 20:17:16,"0,127s",PASSED
"click(findTestObject(""Object Repository/MarcaConsulta/button_Book Appointment""))",Chrome 71.0.3578.98,,2018-12-18 20:17:16,2018-12-18 20:17:17,"0,290s",PASSED
"check(findTestObject(""Object Repository/MarcaConsulta/div_Appointment Confirmation""))",Chrome 71.0.3578.98,,2018-12-18 20:17:17,2018-12-18 20:17:17,"0,123s",PASSED
"click(findTestObject(""Object Repository/MarcaConsulta/a_Go to Homepage""))",Chrome 71.0.3578.98,,2018-12-18 20:17:17,2018-12-18 20:17:17,"0,284s",PASSED
,,,,,,
